"New Contractor Licenses - File created: Nov 28, 2018 - 1618 Records"
"License No","Business Name","Doing Business As","Address","Address 2","City","State","Zip","Qualifying Party","Class","Class Detail","Issued Date","Expiration Date","Status"
"319931","Douglass Construction Inc"," ","339 E Avenue K8 Ste 115"," ","Lancaster","CA","93535","Patrick James Douglass","KB-2","","2018-06-13","2020-06-30","Active"
"319935","ECODRY Restoration of Arizona LLC"," ","PO Box 14523"," ","Mesa","AZ","85216","Jacob Henry McGhan","KB-2","","2018-06-06","2020-06-30","Active"
"319949","Kade Mechanical LLC"," ","11005 N 47th Dr"," ","Glendale","AZ","85304","John Gilbert Krogfoss","CR-39","","2018-06-04","2020-06-30","Active"
"319962","AE Solutions LLC"," ","20873 W Eastview Way"," ","Buckeye","AZ","85396","William Allen Clifton","A-5","","2018-07-03","2020-07-31","Active"
"319980","Forge Building Company LLC"," ","348 W Parkcenter Blvd # 200"," ","Boise","ID","83706","Hamish Allan Bell","A-11","","2018-06-05","2020-06-30","Active"
"319983","Fry's Floors LLC"," ","PO Box 1524"," ","Black Canyon City","AZ","85324","Michael Eugene Fry","CR-8","","2018-05-30","2020-05-31","Active"
"319985","Creative Construction & Facilities Corporation"," ","7726 N 1st St # 350"," ","Fresno","CA","93720","Creighton Lynn Cantrell","B-1","","2018-06-06","2020-06-30","Active"
"319994","Cortland Improvements LLC"," ","3424 Peachtree Rd NE Ste 300"," ","Atlanta","GA","30326","Vincent Anthony Schofield","B-1","","2018-06-11","2020-06-30","Active"
"319999","Level-It Installations LTD."," ","2443 Fillmore St # 380-2176"," ","San Francisco","CA","94115","Richard Martinez Solis","KB-2","","2018-06-12","2020-06-30","Active"
"320000","Smart Guy Solutions LLC"," ","2424 E Elm St"," ","Phoenix","AZ","85016","Shawn Gregory Moats","CR-67","","2018-05-29","2020-05-31","Active"
"320002","Sight4Safety LLC"," ","33600 N 27th Dr Unit 3100"," ","Phoenix","AZ","85085","Carl Ray Portillo","CR-67","","2018-05-29","2020-05-31","Active"
"320003","Bare Renovation LLC"," ","7044 W Sunnyside Dr"," ","Peoria","AZ","85345","Joshua Edward Semmler","CR-61","","2018-05-29","2020-05-31","Active"
"320004","E.R Plumbing LLC"," ","9032 N 35th Ave Apt 231"," ","Phoenix","AZ","85051","Ellis Alan Roberts","CR-37","","2018-05-29","2020-05-31","Active"
"320005","Superior Quality Lath & Plastering LLC"," ","1738 Atlantic Ave"," ","Kingman","AZ","86401","Bravlio Hernandez Jr","CR-36","","2018-05-29","2020-05-31","Active"
"320010","Contimbri Builders LLC"," ","PO Box 1565"," ","Sun City","AZ","85372","Stephanus Petrus Coetzee","KB-2","","2018-05-29","2020-05-31","Active"
"320018","Timothy Lee Adams","Adams Home Improvements , Adams Home Improvements","4157 W Bluefield Ave"," ","Glendale","AZ","85308","Timothy Lee Adams","R-61","","2018-05-29","2020-05-31","Active"
"320019","Susie's Fence Inc","Susie's Fence , Susie's Fence","3558 S Bullard Ave"," ","Goodyear","AZ","85338","Lance Benedict Kuhler","CR-14","","2018-06-05","2020-06-30","Active"
"320025","James Atwood West"," Perfect Choice Cooling and Heating, Valley Wide Maintenance","857 N Gaylord Cir"," ","Mesa","AZ","85213","James Atwood West","CR-39","","2018-08-21","2020-08-31","Active"
"320026","FM Steel Construction LLC"," ","1579 E Tara Ct"," ","Chandler","AZ","85225","Ron Patrick Fields","A-11","","2018-05-29","2020-05-31","Active"
"320028","Top Choice Homes Inc"," ","1370 E 8th St Ste 6"," ","Tempe","AZ","85281","Clarence George Moyer","B-2","","2018-06-12","2020-06-30","Active"
"320029","Tangent Design Studio LLC"," ","199 N Sierra Vista Dr"," ","Tucson","AZ","85719","Ian Daniel Kelly","B-3","","2018-05-29","2020-05-31","Active"
"320039","Everything Cool Inc","Yuriar AC, Heating, & Refrigeration , Yuriar AC, Heating, & Refrigeration","7065 W Ann Rd # 130-302"," ","Las Vegas","NV","89130","Christopher Michael Yuriar","CR-39","","2018-05-29","2020-05-31","Active"
"320042","Dallas Richard Lammert"," ","2902 W Sweetwater Ave Apt 3176"," ","Phoenix","AZ","85029","Dallas Richard Lammert","KB-2","","2018-05-29","2020-05-31","Active"
"320045","J&T Ramsey Enterprises LLC"," ","19654 W Morning Glory St"," ","Buckeye","AZ","85326","Jason Lee Ramsey","CR-48","","2018-05-29","2020-05-31","Active"
"320046","D&D Masonry & Stone, LLC"," ","4258 Antler Ln"," ","Show Low","AZ","85901","David Zechariah Myers","CR-31","","2018-05-30","2020-05-31","Active"
"320048","Semper Fi Heating And Cooling LLC"," ","7602 E Main St Ste C"," ","Mesa","AZ","85207","Jesse Dale Keenan","C-39","","2018-06-07","2020-06-30","Active"
"320052","Ameripan AZ Inc.","Complete Mechanical Service , Complete Mechanical Service","82150 Padova Dr"," ","Indio","CA","92203","John Carter Doyle","CR-37","","2018-05-29","2020-05-31","Active"
"320053","AZ Budget Flooring LLC"," ","1112 E Garden Loop"," ","Tucson","AZ","85706","Jose Edel Leon Osorio","CR-8","","2018-05-29","2020-05-31","Active"
"320054","T L Custom Build LLC"," ","5820 E Fairmount St"," ","Tucson","AZ","85712","Todd Loren Cropp","KB-2","","2018-05-29","2020-05-31","Active"
"320057","Forbes Refrigeration LLC"," ","7561 E Alameda Rd"," ","Scottsdale","AZ","85255","Larry Don Forbes Jr","CR-39","","2018-05-29","2020-05-31","Active"
"320059","Finor Painting LLC"," ","2233 E Sheridan St"," ","Phoenix","AZ","85006","Jason Gustavo Puentes","R-62","","2018-05-29","2020-05-31","Active"
"320065","Ameripan AZ Inc.","Complete Mechanical Service , Complete Mechanical Service","82150 Padova Dr"," ","Indio","CA","92203","John Carter Doyle","CR-39","","2018-05-29","2020-05-31","Active"
"320069","Thompson Thrift Construction Inc"," ","901 Wabash Ave Ste 300"," ","Terre Haute","IN","47807","John Garreth Thompson","B-1","","2018-05-29","2020-05-31","Active"
"320072","Precision Ironworks LLC"," ","2942 N 24th St Ste 114"," ","Phoenix","AZ","85016","Robert Alexander Sonin","R-24","","2018-05-29","2020-05-31","Active"
"320074","Bernel Inc","VFS Fire & Security Services , VFS Fire & Security Services","501 W Southern Ave"," ","Orange","CA","92865","Randy Roland Nelson","C-16","","2018-05-29","2020-05-31","Active"
"320076","Richard Nunez Camacho"," Desert Vue","8370 N 98th Ln"," ","Peoria","AZ","85345","Richard Nunez Camacho","B-3","","2018-05-30","2020-05-31","Active"
"320077","Mark Jason Miller"," Mark J Miller Construction","2342 N Delaney Dr"," ","Buckeye","AZ","85396","Mark Jason Miller","CR-61","","2018-06-21","2020-06-30","Active"
"320079","Westside Texture LLC"," ","6244 W Vermont Ave"," ","Glendale","AZ","85301","Raymundo Cruz Martinez","CR-10","","2018-05-30","2020-05-31","Active"
"320087","Roadrunner Sealants LLC"," ","3138 E Russell St"," ","Mesa","AZ","85213","Kevin M Trafzer","CR-34","","2018-05-31","2020-05-31","Active"
"320090","RER Construction LLC"," ","7531 E Kiowa Ave"," ","Mesa","AZ","85209","Richard Earl Rodgers Jr","B-2","","2018-05-30","2020-05-31","Active"
"320096","L.P.R. Construction Co LLC"," ","1171 Des Moines Ave"," ","Loveland","CO","80537","John Hatcher Turner","B-1","","2018-06-13","2020-06-30","Active"
"320101","Highland Home Services LLC"," ","502 Dougherty St"," ","Prescott","AZ","86305","Darren Thomas Hamilton","R-39R","","2018-05-31","2020-05-31","Active"
"320109","Paul Lawrence McKenna","McKenna Home Services , McKenna Home Services","317 E Nunneley Rd"," ","Gilbert","AZ","85296","Paul Lawrence McKenna","CR-60","","2018-05-31","2020-05-31","Active"
"320111","Gonzo Landscaping Services LLC"," ","130 E Millett Ave"," ","Mesa","AZ","85210","Edgar Gonzalez","CR-21","","2018-05-31","2020-05-31","Active"
"320113","Embark Construction LLC"," ","16501 N El Mirage Rd Lot 711"," ","Surprise","AZ","85378","William E Moody","KB-2","","2018-06-01","2020-06-30","Active"
"320115","Tekton Builders Construction LLC"," ","64012 E Quijote St"," ","Tucson","AZ","85739","Luis E Quiros Jaime","KB-2","","2018-05-31","2020-05-31","Active"
"320116","Signature Heating And Cooling LLC"," ","2129 N Donner Ave"," ","Tucson","AZ","85749","Brandon A Johnson","CR-39","","2018-05-31","2020-05-31","Active"
"320117","Arizona Home Inspections By Jack Randall LLC"," ","6810 N Andrea Doria Dr"," ","Tucson","AZ","85704","Jack Edward Randall","B","","2018-05-31","2020-05-31","Active"
"320123","Dewey Dirt Diggers LLC"," ","PO Box 1005"," ","Dewey","AZ","86327","Jerry Lee Carnes","R-2","","2018-06-15","2020-06-30","Active"
"320125","Lee Mechanical Contractors Inc"," ","PO Box 663"," ","Park Hills","MO","63601","Jack Odell Baggs","C-4","","2018-06-06","2020-06-30","Active"
"320127","Ferma Corporation"," ","1265 Montecito Ave Ste 200"," ","Mountain View","CA","94043","Marc Daniel Ferrari","C-57","","2018-06-29","2020-06-30","Active"
"320130","303 Lighting & Electrical LLC"," ","3116 N 83rd Ave"," ","Phoenix","AZ","85033","Preston Lee Pendergast","CR-11","","2018-06-01","2020-06-30","Active"
"320131","Porter Metal Works LLC"," ","2644 E Evergreen St"," ","Mesa","AZ","85213","David Lyle Porter","CR-24","","2018-06-01","2020-06-30","Active"
"320132","Finishes & Painting Company LLC"," ","2634 N Sericin Cir"," ","Mesa","AZ","85215","Octavio Rene Duran Lopez","CR-34","","2018-06-01","2020-06-30","Active"
"320134","H & H Contracting LLC"," ","PO Box 408"," ","Snowflake","AZ","85937","Johnny Dale Henderson Jr","A-17","","2018-06-05","2020-06-30","Active"
"320136","Matthew Allan Koljonen"," Matt Koljonen","17466 W Summit Dr"," ","Goodyear","AZ","85338","Matthew Allan Koljonen","KB-1","","2018-06-01","2020-06-30","Active"
"320138","Henrick Construction LLC"," ","19806 W Whitton Ave"," ","Buckeye","AZ","85396","Henry Fuentes Laborin","KA","","2018-06-13","2020-06-30","Active"
"320141","Durus Industrial LLC"," ","PO Box 12528"," ","Tempe","AZ","85284","Brian D Shields","C-4","","2018-06-06","2020-06-30","Active"
"320147","Epoxy Werx LLC"," ","11201 N Tatum Blvd Ste 300"," ","Phoenix","AZ","85028","Sheldon William Sutherland","CR-34","","2018-06-01","2020-06-30","Active"
"320151","Systems Contractors Inc"," ","35570 Country Road 13"," ","Elizabeth","CO","80107","Ronald Dean Dostie","B-1","","2018-06-13","2020-06-30","Active"
"320155","GTZ Electric Limited Liability Company"," ","7647 W Shumway Farm Rd"," ","Laveen","AZ","85339","Luis A Gutierrez Trevizo","CR-11","","2018-06-05","2020-06-30","Active"
"320158","Mesa Mechanical Industrial Solutions LLC"," ","3514 Pinemont Dr"," ","Houston","TX","77018","Mark Douglas Johnson","CR-39","","2018-06-07","2020-06-30","Active"
"320167","Allied Power Services LLC"," ","400 Convention St Ste 320"," ","Baton Rouge","LA","70802","Paul Ancell Barry","C-11","","2018-06-08","2020-06-30","Active"
"320174","TNT Contracting Services LLC"," ","7715 E Euclid Ave"," ","Mesa","AZ","85208","Tanner J Huber","KB-2","","2018-06-05","2020-06-30","Active"
"320175","Tim Brown Construction LLC"," ","PO Box 343"," ","Santa Maria","CA","93456","Timothy Louis Brown","R-61","","2018-06-05","2020-06-30","Active"
"320176","Elijah Air LLC"," ","1560 S 230th Ave"," ","Buckeye","AZ","85326","Jesus Perez","R-39R","","2018-06-06","2020-06-30","Active"
"320181","Apex Mechanical LLC"," ","7221 W Vogel Ave"," ","Peoria","AZ","85345","Ryan Michael Utsler","CR-39","","2018-06-05","2020-06-30","Active"
"320188","Luxury Builders LLC"," ","12610 E Laurel Ln"," ","Scottsdale","AZ","85259","Benjamin Louis Vafai","KB-1","","2018-06-05","2020-06-30","Active"
"320194","Arizona Elite Flooring And Remodeling LLC"," ","9207 W Garfield St"," ","Phoenix","AZ","85034","Armando Francisco Pina","CR-61","","2018-06-06","2020-06-30","Active"
"320197","Next Level Drywall LLC"," ","6040 E Calle Ojos Verde"," ","Tucson","AZ","85750","William Harold Hough","CR-10","","2018-05-29","2020-05-31","Active"
"320199","Emerson Construction LLC"," ","705 E Kachina Ave"," ","Apache Junction","AZ","85119","Scott Gordon Lance","KB-2","","2018-06-07","2020-06-30","Active"
"320200","Clean View Landscape LLC"," ","1024 N Grand"," ","Mesa","AZ","85201","Federico Hernandez","CR-21","","2018-06-12","2020-06-30","Active"
"320201","Ybarra Construction LLC"," ","7493 N Oracle Rd Ste 231A"," ","Tucson","AZ","85704","Miguel Pinon Ybarra","CR-61","","2018-06-06","2020-06-30","Active"
"320202","CPS Construction LLC"," ","PO Box 17424"," ","Tucson","AZ","85731","Chet Bernett Skov","B","","2018-06-07","2020-06-30","Active"
"320205","Always Sunny Painting LLC"," ","PO Box 802"," ","Gilbert","AZ","85296","Sunny Lynn Taylor","R-62","","2018-06-07","2020-06-30","Active"
"320206","Always Sunny Painting LLC"," ","PO Box 802"," ","Gilbert","AZ","85296","Sunny Lynn Taylor","CR-34","","2018-06-07","2020-06-30","Active"
"320217","Rock Fire Systems Inc"," ","PO Box 25964"," ","Yuma","AZ","85367","Sergio Galindo","CR-16","","2018-06-07","2020-06-30","Active"
"320221","Quality Fire Protection LLC","Watson Fire , Watson Fire","PO Box 43242"," ","Tucson","AZ","85733","Allen Pierce Watson","CR-16","","2018-06-07","2020-06-30","Active"
"320223","Acorn Construction Inc"," ","Po Box 563"," ","Overgaard","AZ","85933","Floyd William Arendell","KB-2","","2018-06-15","2020-06-30","Active"
"320225","Golden Dawn Painting LLC"," ","6900 S Vereda Sombria"," ","Tucson","AZ","85746","Jared Samuel Samaniego","CR-34","","2018-06-08","2020-06-30","Active"
"320232","Pool Remodeling Brothers, LLC"," ","2031 N 55th Ave"," ","Phoenix","AZ","85035","Juan C Ruiz Lopez","CR-36","","2018-06-08","2020-06-30","Active"
"320233","Pristine Pool Builders LLC"," ","4027 W Lone Cactus Dr"," ","Glendale","AZ","85308","Michael Carroll Haulot","KA-5","","2018-06-08","2020-06-30","Active"
"320234","DC Construction LLC"," ","PO Box 151"," ","Saint Johns","AZ","85936","Daryl Patrick Greer","CR-61","","2018-06-08","2020-06-30","Active"
"320236","Moran Sheet Metal LLC"," ","3630 W 8th St"," ","Yuma","AZ","85364","Gabriel Quijada Solis","CR-39","","2018-06-08","2020-06-30","Active"
"320237","Herman Contracting Inc"," ","930 W Glenn St"," ","Tucson","AZ","85705","George Edward Herman","B-4","","2018-06-05","2020-06-30","Active"
"320238","Unique Home and Pool LLC"," ","1410 N Freestone Cir"," ","Mesa","AZ","85203","Kyle Aaron Karkos","R-62","","2018-06-08","2020-06-30","Active"
"320240","T Hobbs Construction LLC"," ","1000 S Navajo Ave Apt 8"," ","Parker","AZ","85344","Timothy Kent Hobbs","KB-2","","2018-06-08","2020-06-30","Active"
"320245","Taylor Reid Builders LLC"," ","527 E Huber St"," ","Mesa","AZ","85203","Matthew Mark Skarphol","KB-2","","2018-06-08","2020-06-30","Active"
"320246","Cobra Construction Company LLC"," ","3860 S Ashley Dr"," ","Chandler","AZ","85286","John Charles Sulzer","KB-1","","2018-06-15","2020-06-30","Active"
"320249","HM Cleaning & Repairs LLC"," ","12302 N 77th Dr"," ","Peoria","AZ","85381","Heather Ann Macy","R-62","","2018-06-11","2020-06-30","Active"
"320250","Complete Comfort Home Services LLC"," ","5418 E Catalina Ave"," ","Mesa","AZ","85206","Conrad Salim Soudani","CR-39","","2018-06-08","2020-06-30","Active"
"320251","Precise Home Services LLC"," ","135 E Chilton Dr Ste 101"," ","Chandler","AZ","85225","Aaron Thomas Mc Cabe","CR-37","","2018-06-22","2020-06-30","Active"
"320252","Comfy Cooling And Heating LLC"," ","2461 E Dragoon Ave"," ","Mesa","AZ","85204","Edwin Enriquez","CR-39","","2018-06-07","2020-06-30","Active"
"320255","Heersink's Irrigation Repair and Maintence LLC"," ","2353 S Revere"," ","Mesa","AZ","85210","Joseph T Heersink","R-21","","2018-06-11","2020-06-30","Active"
"320256","Atlas Homes LLC"," ","4860 E Baseline Rd Ste 107"," ","Mesa","AZ","85206","Garin Richard Cohill","KB-1","","2018-06-20","2020-06-30","Active"
"320264","Garlick Construction Inc"," ","3312 N 29th Ave"," ","Phoenix","AZ","85017","Preston Douglas Garlick","B-1","","2018-05-29","2020-05-31","Active"
"320266","David Joseph Schaefer"," Schaef Air Heating and Air Conditioning","9057 Arrow Rte Ste 160"," ","Rancho Cucamonga","CA","91730","David Joseph Schaefer","CR-39","","2018-06-12","2020-06-30","Active"
"320267","J. Reynolds & Co. Inc"," ","369 Sansom Blvd"," ","Saginaw","TX","76179","David Leonard Wasson","C-42","","2018-06-19","2020-06-30","Active"
"320269","Unique Remodel LLC"," ","7143 W Cherry Tree Pl"," ","Tucson","AZ","85757","Cristobal Enriquez","CR-60","","2018-06-08","2020-06-30","Active"
"320271","Unique Remodel LLC"," ","7143 W Cherry Tree Pl"," ","Tucson","AZ","85757","Cristobal Enriquez","R-62","","2018-06-08","2020-06-30","Active"
"320272","Moss & Associates LLC"," ","2101 N Andrews Ave"," ","Wilton Manors","FL","33311","Bradley J Wilson","A","","2018-06-22","2020-06-30","Active"
"320276","The Woodworker LLC"," ","PO Box 7201"," ","Surprise","AZ","85374","Rodney Westphal","CR-61","","2018-06-11","2020-06-30","Active"
"320277","Patron Romero Tile LLC"," ","8601 N 103rd Ave Lot 129"," ","Peoria","AZ","85345","Inola Romero","CR-48","","2018-06-11","2020-06-30","Active"
"320278","Arizona Professional Insulation LLC"," ","3120 W Alvarado Rd"," ","Phoenix","AZ","85009","Danny Cossio","R-40","","2018-06-12","2020-06-30","Active"
"320279","Artificial Grass Outlet LLC"," ","289 S 228th Ln"," ","Buckeye","AZ","85326","James Romo Zuniga","CR-21","","2018-06-11","2020-06-30","Active"
"320280","Mosa-AZ Contracting LLC"," ","15608 W Magnolia St"," ","Goodyear","AZ","85338","Scott A Watson","CR-61","","2018-06-11","2020-06-30","Active"
"320282","Richard L Tanner"," RLTanner Remodeling","10144 E Wood Ave"," ","Mesa","AZ","85208","Richard L Tanner","CR-61","","2018-05-29","2020-05-31","Active"
"320288","SMG Extol LLC"," ","4038 Clipper Ct"," ","Fremont","CA","94538","Thomas Andrew Supp","C-67","","2018-06-15","2020-06-30","Active"
"320291","Wesley Andrew Glogner"," PSL Construction, Pro Service Landscape","7739 E Broadway Blvd # 43"," ","Tucson","AZ","85710","Wesley Andrew Glogner","B","","2018-06-22","2020-06-30","Active"
"320292","AZ Safeway Garage Doors LLC"," ","2414 S Manitoba Dr"," ","Santa Ana","CA","92704","Obeidallah Jamil Obeidallah","R-60","","2018-06-12","2020-06-30","Active"
"320294","Elle Interiors LLC"," ","1328 E Treasure Cove Dr"," ","Gilbert","AZ","85234","Ellinor Maria Ellefson","B-3","","2018-06-12","2020-06-30","Active"
"320300","Dave's Custom Millwork LLC"," ","PO Box 74402"," ","Phoenix","AZ","85087","David H Perrin","CR-60","","2018-05-29","2020-05-31","Active"
"320302","Stonescapes Design and Landscaping LLC"," ","PO Box 89339"," ","Tucson","AZ","85752","Marc Andrew Martinez","KA-5","","2018-06-05","2020-06-30","Active"
"320303","Stonescapes Design and Landscaping LLC"," ","PO Box 89339"," ","Tucson","AZ","85752","Marc Andrew Martinez","CR-21","","2018-06-05","2020-06-30","Active"
"320304","Elevated Construction, LLC"," ","PO Box 2086"," ","Flagstaff","AZ","86003","Darris Anthony Palmer","KA","","2018-06-05","2020-06-30","Active"
"320306","Elite Retail Services Inc"," ","PO Box 618"," ","Lake Jackson","TX","77566","Cliffton Ray Spratt","B-1","","2018-06-13","2020-06-30","Active"
"320310","Custom Mechanical Systems Corp"," CMS Corporation","1480 Ford St"," ","Maumee","OH","43537","Khushwant Singh Mander","C-39","","2018-06-21","2020-06-30","Active"
"320312","SDV Construction Inc"," ","8912 Adams St NE"," ","Albuquerque","NM","87113","William P Farless","B-1","","2018-06-11","2020-06-30","Active"
"320317","Fair & Square Pool Builds LLC"," ","2941 E Sunrise Pl"," ","Chandler","AZ","85286","Frederick Bruce Lawrence","B-5","","2018-08-23","2020-08-31","Active"
"320319","Brandon Joseph Suitor"," Suitors Heating & Cooling","PO Box 775"," ","Congress","AZ","85332","Brandon Joseph Suitor","R-39R","","2018-06-12","2020-06-30","Active"
"320321","Arizona Barn and Fence Pros LLC"," ","6540 E Ashler Hills Dr"," ","Cave Creek","AZ","85331","Donald Joe Keas","KB-2","","2018-06-21","2020-06-30","Active"
"320323","Arrowhead-Sletten Builders"," ","2501 E University Dr"," ","Phoenix","AZ","85034","Ethan James Dodd","B-1","","2018-06-05","2020-06-30","Active"
"320324","Aries Heating & Cooling LLC"," ","PO Box 55056"," ","Phoenix","AZ","85078","Denis Ray Arrant","CR-39","","2018-06-12","2020-06-30","Active"
"320326","Arizona Snake Fence LLC"," ","2555 N Coyote Dr Ste 101"," ","Tucson","AZ","85745","James Matthew Ford Sr","CR-14","","2018-06-07","2020-06-30","Active"
"320330","Core Construction & Development Inc"," ","PO Box 202"," ","Micanopy","FL","32667","Gregory James Lee","B-1","","2018-06-13","2020-06-30","Active"
"320332","Amberle Dawn Blake"," All Backyard Construction","7760 E State Route 69"," ","Prescott Valley","AZ","86314","Amberle Dawn Blake","R-14","","2018-06-12","2020-06-30","Active"
"320334","AZ Builders Services LLC"," ","3825 N 4th St"," ","Phoenix","AZ","85012","Richard Ashton Glover","KB-1","","2018-06-22","2020-06-30","Active"
"320339","Minadeo's Floor Coating LLC"," ","9444 S 182nd Ln"," ","Goodyear","AZ","85338","Joseph Minadeo","CR-60","","2018-06-15","2020-06-30","Active"
"320340","Minadeo's Floor Coating LLC"," ","9444 S 182nd Ln"," ","Goodyear","AZ","85338","Joseph Minadeo","CR-8","","2018-06-15","2020-06-30","Active"
"320341","Signature Painting Services LLC"," ","320 S Alarcon St Apt A"," ","Prescott","AZ","86303","Geoffrey Michael Scheberle","CR-34","","2018-06-13","2020-06-30","Active"
"320342","Golden Horizon Specialties LLC"," ","4535 W Mission Ln"," ","Glendale","AZ","85302","Neftali Perez Sierra","R-9","","2018-06-13","2020-06-30","Active"
"320343","My Pool Pro LLC"," ","PO Box 5474"," ","Goodyear","AZ","85338","Michael Lee Austin","CR-6","","2018-05-30","2020-05-31","Active"
"320344","Point Contracting LLC"," ","2751 W Silver Fox Way"," ","Phoenix","AZ","85045","Kevin James Ellis","KB-1","","2018-05-31","2020-05-31","Active"
"320345","Happy Home Systems Inc","G.S. Tech , G.S. Tech","3655 W Anthem Way Ste A109-528"," ","Anthem","AZ","85086","Keith Louis Rowley","CR-11","","2018-05-30","2020-05-31","Active"
"320346","Intricate Electric  LLC"," ","610 Empress Dr"," ","Lake Havasu City","AZ","86403","Juan C Garcia","R-11","","2018-06-13","2020-06-30","Active"
"320353","7th Heaven Flooring LLC"," ","7760 N Soledad Ave"," ","Tucson","AZ","85741","Ronald Clyde Searle Jr","R-8","","2018-06-05","2020-06-30","Active"
"320354","Altitude Remodeling LLC"," ","1530 N Foxglenn St"," ","Flagstaff","AZ","86004","Eric Criag Harris","B-3","","2018-06-01","2020-06-30","Active"
"320355","Arizona's Best Garage Door And Repair Company LLC"," ","3902 E Roeser Rd Ste 2"," ","Phoenix","AZ","85040","Travis James Trentham","CR-60","","2018-06-13","2020-06-30","Active"
"320356","M & H Contractors LLC"," ","9511 E Sellarole Rd"," ","Tucson","AZ","85730","John E Monaco Jr","KB-2","","2018-06-21","2020-06-30","Active"
"320359","ASHCO LLC"," ","2014 E Vista Dr"," ","Phoenix","AZ","85022","David Luther Thompson","B","","2018-05-31","2020-05-31","Active"
"320361","Sonoran Plumbing LLC"," ","650 S Country Club Dr Apt 135"," ","Mesa","AZ","85210","Jesus Martin Ramirez Romo","CR-37","","2018-06-28","2020-06-30","Active"
"320362","Lobo Contracting LLC"," ","275 1/2 W Frye Rd"," ","Chandler","AZ","85225","Ruben Perez","CR-61","","2018-05-29","2020-05-31","Active"
