"Current Active Residential Contractors - File created: Nov 28, 2018 - 8380 Records"
"License No","Business Name","Doing Business As","Address","Address 2","City","State","Zip","Qualifying Party","Class","Class Detail","Class Type","Issued Date","Expiration Date","Status"
"266731","1st Cut Contracting LLC"," ","16480 W Hope Dr"," ","Surprise","AZ","85388","Scott Reid Roberts","B","B General Residential Contractor","Residential","2010-10-05","2020-10-31","Current"
"312624","1st In Restoration and Remodeling LLC","1st In Contracting , 1st In Contracting","6404 W Sandra Ter"," ","Glendale","AZ","85306","Sati James McCalla","R-62","R-62 Minor Home Improvements","Residential","2017-04-11","2019-04-30","Current"
"234037","1st Light Homes LLC"," ","619 W Horseshoe Ave"," ","Gilbert","AZ","85233","Gerald Allan Hohman","B","B General Residential Contractor","Residential","2007-06-12","2018-12-31","Current"
"202763","2 Good Men Handyman Service LLC"," ","3501 E Hartford Ave"," ","Phoenix","AZ","85032","Lyn Diane Phillips","R-62","R-62 Minor Home Improvements","Residential","2004-12-29","2018-12-31","Current"
"315660","2 Sons Plumbing LLC"," ","7329 W Via Montoya Dr"," ","Glendale","AZ","85310","Jason Saint Rich","R-37R","R-37R Plumbing","Residential","2017-09-21","2019-09-30","Current"
"216235","2 X 2 Construction Inc"," ","1050 S Tyndall Ave"," ","Tucson","AZ","85719","Noah Caleb Sensibar","B-3","B-3 General Remodeling and Repair Contractor","Residential","2006-03-28","2020-03-31","Current"
"314386","2-A-T Construction LLC"," ","PO Box 1213"," ","Paulden","AZ","86334","Cindy Joy Spahr","B","B General Residential Contractor","Residential","2017-06-29","2019-06-30","Current"
"216423","24 7 Water Conditioning and Plumbing Inc"," 24 7 Plumbing and Water Systems, 24 7 Renovation","PO Box 54"," ","Peoria","AZ","85345","Mark Everett Dittrick","R-37R","R-37R Plumbing","Residential","2006-02-03","2020-02-29","Current"
"160555","24 Karat Homes LLC"," ","16054 E Tombstone Ave"," ","Fountain Hills","AZ","85268","James Douglas Canning","B","B General Residential Contractor","Residential","2000-12-07","2018-12-31","Current"
"282121","28 Phases Construction LLC"," ","4311 S Boxwood Pl"," ","Tucson","AZ","85730","Matthew John Fatovich","B","B General Residential Contractor","Residential","2012-12-19","2018-12-31","Current"
"254188","3 Amigos Plumbing LLC"," ","315 3rd Ave W"," ","Buckeye","AZ","85326","Cesar Angulo","R-37R","R-37R Plumbing","Residential","2009-04-12","2019-04-30","Current"
"212423","3 B Concrete Inc"," ","515 E Carefree Hwy # 1030"," ","Phoenix","AZ","85085","Brian Wayne Barickman","R-9","R-9 Concrete","Residential","2005-10-06","2019-10-31","Current"
"179317","3 B S Construction LLC"," ","5180 W Campo Bello Dr"," ","Glendale","AZ","85308","David Allen Bryant","B-3","B-3 General Remodeling and Repair Contractor","Residential","2002-10-31","2020-10-31","Current"
"242160","3 D Design and Development LLC"," ","16201 E Yucca Ash Farm Rd"," ","Sonoita","AZ","85637","Dennis Dale Davies","B","B General Residential Contractor","Residential","2008-03-12","2020-03-31","Current"
"212428","3 In 1 Electric Inc"," ","2005 N 127th Ave"," ","Avondale","AZ","85392","Andrew Robert Vasquez","R-11","R-11 Electrical","Residential","2005-10-16","2019-10-31","Current"
"300913","3 J's Plus One Electric Inc"," ","3829 E Carson Rd"," ","Phoenix","AZ","85042","James Alvin Jones","R-11","R-11 Electrical","Residential","2015-08-19","2019-08-31","Current"
"255396","3 Nails Contracting Inc"," ","2709 E Joan D Arc Ave"," ","Phoenix","AZ","85032","Julio Angel Toro","B","B General Residential Contractor","Residential","2009-06-03","2020-09-30","Current"
"261682","3 Nails Contracting Inc"," ","2709 E Joan D Arc Ave"," ","Phoenix","AZ","85032","Julio Angel Toro","R-37R","R-37R Plumbing","Residential","2010-01-13","2020-09-30","Current"
"293718","3 Points Concrete LLC"," ","1645 W Valencia Rd Unit 109-124"," ","Tucson","AZ","85746","Carlos Celestino Pena","R-9","R-9 Concrete","Residential","2014-07-21","2020-07-31","Current"
"320548","3 Step Construction LLC"," ","711 Palo Verde Dr"," ","Sierra Vista","AZ","85635","Stephen P Amarillas Jr","B-3","B-3 General Remodeling and Repair Contractor","Residential","2018-06-28","2020-06-30","Current"
"109029","31 Inc","Harry Roud Enterprise , Harry Roud Enterprise","2744 W Lawrence Ln"," ","Phoenix","AZ","85051","Harry Charles Roud","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1995-08-18","2019-07-31","Current"
"318030","330 Days of Sunshine LLC"," ","120 S Houghton Rd Ste 138 PMB 190"," ","Tucson","AZ","85748","Dell Craaybeek","B-3","B-3 General Remodeling and Repair Contractor","Residential","2018-02-23","2020-02-29","Current"
"187502","35th Avenue Sewing Machines and Vacuum Cleaners Inc"," ","3548 W Northern Ave"," ","Phoenix","AZ","85051","Jacquelyn Marie Fose","R-37R","R-37R Plumbing","Residential","2003-07-31","2019-07-31","Current"
"236831","360 Construction LLC"," ","13539 S 184th Dr"," ","Litchfield Park","AZ","85340","Michael Diosco Fernandez","B","B General Residential Contractor","Residential","2007-08-27","2019-08-31","Current"
"298106","360 Custom Masonry & Pavers LLC"," ","PO Box 6033"," ","Peoria","AZ","85385","Kimberly Ann Bayne","R-62","R-62 Minor Home Improvements","Residential","2015-04-30","2019-04-30","Current"
"322588","4 Brothers Homes LLC"," ","1958 E Oxford Dr"," ","Tempe","AZ","85283","William Patrick Chance","B","B General Residential Contractor","Residential","2018-11-09","2020-11-30","Current"
"193699","4 D Masonry Contracting Inc"," ","PO Box 1149"," ","Marana","AZ","85653","James Michael Ditsch","B","B General Residential Contractor","Residential","2004-03-05","2020-03-31","Current"
"102763","4 J Drilling and Pump Co LC"," ","Po Box 36"," ","Pima","AZ","85543","Joseph Burchett Tatum","R-53","R-53 Drilling","Residential","1994-06-13","2019-05-31","Current"
"125779","4 J Electric Inc"," ","2581 N Highway 95"," ","Parker","AZ","85344","Shaun Arthur Bayless","R-11","R-11 Electrical","Residential","1997-07-25","2019-07-31","Current"
"178579","4 M Home Builders LLC"," ","1420 E County Down Dr"," ","Chandler","AZ","85249","Alexander D Marinakis Jr","B","B General Residential Contractor","Residential","2002-09-18","2020-08-31","Current"
"199350","4 T L B S Custom Builders Inc"," ","1804 W Adobe Dam Rd"," ","Queen Creek","AZ","85142","Theodore Louis Becker","R-11","R-11 Electrical","Residential","2004-08-23","2020-08-31","Current"
"303830","4 T L B S Custom Builders Inc"," ","1804 W Adobe Dam Rd"," ","Queen Creek","AZ","85142","Theodore Louis Becker","B","B General Residential Contractor","Residential","2016-03-07","2020-03-31","Current"
"302023","4G Pools LLC"," ","19410 E Via Del Palo"," ","Queen Creek","AZ","85142","Christian Legrand Estes","B-5","B-5 General Swimming Pool Contractor","Residential","2015-12-09","2019-12-31","Current"
"296203","5 Stars Restoration and Construction LLC"," ","6072 S Lily Magnolia Way"," ","Tucson","AZ","85747","Andrew Thomas Ross","B-3","B-3 General Remodeling and Repair Contractor","Residential","2015-02-23","2019-02-28","Current"
"285589","7 Charms Enterprises LLC"," ","PO Box 3917"," ","Flagstaff","AZ","86003","Richard Allen Piancino","B","B General Residential Contractor","Residential","2013-06-18","2019-06-30","Current"
"269997","78 Contracting LLC"," ","13650 N 89th St"," ","Scottsdale","AZ","85260","David Robert Lindberg","B","B General Residential Contractor","Residential","2010-12-27","2018-12-31","Current"
"202942","78 Degrees Inc"," ","13418 N 18th Pl"," ","Phoenix","AZ","85022","Kazimierz Jan Kenjora","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2005-01-06","2019-01-31","Current"
"320353","7th Heaven Flooring LLC"," ","7760 N Soledad Ave"," ","Tucson","AZ","85741","Ronald Clyde Searle Jr","R-8","R-8 Floor Covering","Residential","2018-06-05","2020-06-30","Current"
"211572","84 Lumber Company A Limited Partnership"," ","1019 Route 519 Bldg 5"," ","Eighty Four","PA","15330","Edward Joseph Baer","B","B General Residential Contractor","Residential","2005-09-27","2019-09-30","Current"
"301600","9 Wood Remodeling LLC"," ","26266 N 43rd Pl"," ","Phoenix","AZ","85050","William M Marhevka","B-3","B-3 General Remodeling and Repair Contractor","Residential","2015-11-03","2019-11-30","Current"
"317609","911 Restoration Of Phoenix LLC"," ","8905 N 18th Ave"," ","Phoenix","AZ","85021","Rocky Gene Dunn","B-3","B-3 General Remodeling and Repair Contractor","Residential","2018-02-06","2020-02-29","Current"
"309855","A & A Construction LLC"," ","15723 W Shangri La Rd"," ","Surprise","AZ","85379","Donald Delmar Lindsay Jr","B","B General Residential Contractor","Residential","2016-12-07","2018-12-31","Current"
"310737","A & B Handyman, LLC"," ","PO Box 985"," ","Taylor","AZ","85939","Brian K Neff","R-62","R-62 Minor Home Improvements","Residential","2017-01-09","2019-01-31","Current"
"278997","A & E Factory Service LLC"," ","3333 Beverly Rd # A4-250B"," ","Edgewood","NM","87015","Brian Edward Wells","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2012-05-24","2020-05-31","Current"
"305289","A & E Recycled Granite LLC","AE Recycled Granite , AE Recycled Granite","8500 S Nogales Hwy"," ","Tucson","AZ","85756","Joshua Russel Olauson","R-62","R-62 Minor Home Improvements","Residential","2016-05-10","2020-05-31","Current"
"268584","A & H Electric LLC"," ","12649 S Somerton Ave"," ","Yuma","AZ","85365","Jose Angel Garcia","R-11","R-11 Electrical","Residential","2010-11-16","2018-11-30","Current"
"290252","A & J Keith LLC"," ","4375 S Mayfair Way"," ","Gilbert","AZ","85297","Alexander Mcmillan Keith","R-62","R-62 Minor Home Improvements","Residential","2014-03-05","2020-03-31","Current"
"308350","A & L Investments of Nogales, LLC"," ","1101 W Manilla Dr Apt A"," ","Nogales","AZ","85621","Armando Ramirez","B","B General Residential Contractor","Residential","2016-09-02","2020-09-30","Current"
"221033","A & M Heating and Cooling LLC"," ","2980 S Cottonwood Ln"," ","Tucson","AZ","85713","Alejandro Miramon","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2006-07-21","2020-07-31","Current"
"199745","A & M Pump & Pool Supply Inc"," ","2980 N 73rd St"," ","Scottsdale","AZ","85251","Wilson Julien Boyer","R-6","R-6 Swimming Pool Service and Repair","Residential","2004-09-15","2020-09-30","Current"
"273238","A & S Paving Inc"," ","4755 S 12th Ave"," ","Tucson","AZ","85714","Salvador Sandoval Pedregon","R-13","R-13 Asphalt Paving","Residential","2011-06-10","2019-06-30","Current"
"273239","A & S Paving Inc"," ","4755 S 12th Ave"," ","Tucson","AZ","85714","Salvador Sandoval Pedregon","R-2","R-2 Excavating, Grading and Oil Surfacing","Residential","2011-06-10","2019-06-30","Current"
"311812","A & S Restoration Inc"," ","12828 W Peoria Ave"," ","Phoenix","AZ","85033","Servando Lopez","B-3","B-3 General Remodeling and Repair Contractor","Residential","2017-03-03","2019-03-31","Current"
"051697","A 1 Air Conditioning Inc"," ","9017 N 8th St"," ","Phoenix","AZ","85020","Jon Ray Hershberger","R-39","R-39 Air Conditioning and Refrigeration, Including Solar","Residential","1980-03-31","2020-02-29","Current"
"067364","A 1 Heating and Cooling Inc"," ","7416 E Frisco Peaks"," ","Prescott Valley","AZ","86315","Michael G Petraitis","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1987-03-26","2020-02-29","Current"
"037046","A 1 Plumbing Contractors Inc"," ","12631 N 31st St"," ","Phoenix","AZ","85032","Thomas Russell Hicks II","R-37R","R-37R Plumbing","Residential","1972-11-20","2019-10-31","Current"
"150458","A 1 Quality Home Developers LLC"," ","6977 Pinedale Pl"," ","Show Low","AZ","85901","Mike Paul Young","B","B General Residential Contractor","Residential","1999-11-30","2019-11-30","Current"
"081733","A 1 Speedy Service Inc","Valley Heating and Cooling , Valley Heating and Cooling","916 E Baseline Rd Ste 129"," ","Mesa","AZ","85204","Larry Wayne Callaway","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1989-01-26","2019-12-31","Current"
"255096","A 2 Z Construction and Landscaping Inc"," ","270 E.Hunt Hwy. Ste.16-218"," ","San Tan Valley","AZ","85143","Christopher Daniel Melby","B-3","B-3 General Remodeling and Repair Contractor","Residential","2009-04-28","2019-04-30","Current"
"091656","A A A Arizona Repair Solutions Inc"," ","8449 E Montecito Ave"," ","Scottsdale","AZ","85251","John Edward Cassavant","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1991-11-14","2020-10-31","Current"
"094996","A A A Arizona Repair Solutions Inc"," ","8449 E Montecito Ave"," ","Scottsdale","AZ","85251","John Edward Cassavant","R-11","R-11 Electrical","Residential","1992-10-05","2020-09-30","Current"
"214171","A A A Froggy Electric Inc"," ","221 Cutthroat Dr"," ","Summerland Key","FL","33042","Joel Robert Resler","R-11","R-11 Electrical","Residential","2005-12-20","2019-10-31","Current"
"234197","A A A Precise Plumbing LLC"," ","12036 W Dos Rios Dr"," ","Sun City","AZ","85373","Keith Harold Johnston","R-37R","R-37R Plumbing","Residential","2007-06-08","2019-06-30","Current"
"272139","A A Ariz Wright Plumbing Heating and Air Conditioning LLC"," ","1118 E Ohio St"," ","Tucson","AZ","85714","Theodore Robert Wright Jr","R-37R","R-37R Plumbing","Residential","2011-04-25","2019-04-30","Current"
"272369","A A Ariz Wright Plumbing Heating and Air Conditioning LLC"," ","1118 E Ohio St"," ","Tucson","AZ","85714","Theodore Robert Wright Jr","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2011-04-10","2019-04-30","Current"
"237718","A A B Construction LLC"," ","878 S 1st Ave"," ","Yuma","AZ","85364","Alfonso Abitong","B","B General Residential Contractor","Residential","2007-09-24","2019-09-30","Current"
"185488","A A Gold Canyon Cooling Inc"," ","7442 E Diamond Ave"," ","Mesa","AZ","85208","Joel James Jeffers","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2003-05-25","2019-05-31","Current"
"137137","A A R O Enterprises Inc"," ","Po Box 688"," ","Lake Havasu City","AZ","86405","Michael Andrew Studer","R-39","R-39 Air Conditioning and Refrigeration, Including Solar","Residential","1998-07-27","2020-07-31","Current"
"238795","A A Right Now A C LLC"," ","85 W Combs Rd Ste 101 #293"," ","San Tan Valley","AZ","85140","Jacob Morris Federle","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2007-11-04","2019-11-30","Current"
"182785","A Always Open Garage Door LLC"," ","7974 E Via Bonita"," ","Scottsdale","AZ","85258","Mark Wesley Dalsoglio","R-62","R-62 Minor Home Improvements","Residential","2003-02-27","2019-02-28","Current"
"098100","A and B Enterprises Incorporated"," ","27 E Juniper Ave"," ","Flagstaff","AZ","86001","Steven Paul Allen","B","B General Residential Contractor","Residential","1993-07-20","2020-06-30","Current"
"170715","A and B Homes Inc"," ","8826 W Alice Ave"," ","Peoria","AZ","85345","Phillip Alexander Woolbright","B","B General Residential Contractor","Residential","2001-12-19","2019-12-31","Current"
"194234","A and C Remodeling LLC"," ","3445 E Indianola Ave"," ","Phoenix","AZ","85018","William Bruce Hardy","B-3","B-3 General Remodeling and Repair Contractor","Residential","2004-03-30","2020-03-31","Current"
"227948","A and F Home Builders LLC"," ","PO Box 3402"," ","San Luis","AZ","85349","Guillermina Aguirre Fuentes","B","B General Residential Contractor","Residential","2006-12-31","2018-12-31","Current"
"060125","A and G Construction Inc"," ","Po Box 352"," ","Wickenburg","AZ","85358","William Reed Guymon","B-3","B-3 General Remodeling and Repair Contractor","Residential","1984-05-01","2020-04-30","Current"
"283325","A and H Construction LLC","Phoenix Construction Group , Phoenix Construction Group","4615 S 16th St"," ","Phoenix","AZ","85040","Lamar Amin Hasan","B","B General Residential Contractor","Residential","2013-02-06","2019-02-28","Current"
"248097","A and M Mechanical LLC"," ","PO Box 43136"," ","Phoenix","AZ","85080","Mark Wiley Mc Clure","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2008-08-21","2020-08-31","Current"
"220868","A and P Painting"," ","2040 S Alma School Rd Ste 1-228"," ","Chandler","AZ","85286","Peter Christopher Keith","R-62","R-62 Minor Home Improvements","Residential","2006-06-03","2020-06-30","Current"
"271056","A B A Home Remodeling LLC"," ","6944 E Thunderbird Rd"," ","Scottsdale","AZ","85254","Joe Yousef Metry","B-3","B-3 General Remodeling and Repair Contractor","Residential","2011-02-23","2020-02-29","Current"
"153202","A B C Plumbing and Rooter Company"," ","284 E Chilton Dr Ste 1"," ","Chandler","AZ","85225","William Joseph Chiusano IV","R-37R","R-37R Plumbing","Residential","2000-03-07","2020-03-31","Current"
"270536","A B Green Limited Liablility Company"," ","28427 N 40th St"," ","Cave Creek","AZ","85331","Adam Ben Green","B","B General Residential Contractor","Residential","2011-01-28","2019-01-31","Current"
"130947","A B P Electrical Systems Inc"," ","3441 E Augusta Ct"," ","Queen Creek","AZ","85142","Michael Eugene Turner","R-11","R-11 Electrical","Residential","1998-01-20","2020-01-31","Current"
"319948","A B S Air Inc"," ","3927 W Thunderbird Rd"," ","Phoenix","AZ","85053","Alfonso Bouza Suarez","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2018-05-21","2020-05-31","Current"
"214203","A B Shaw Inc"," ","16229 S Greenfield Rd"," ","Gilbert","AZ","85295","Aaron Rodney Bradshaw","R-11","R-11 Electrical","Residential","2005-11-29","2019-11-30","Current"
"300726","A B Shaw Residential Inc"," ","16229 S Greenfield Rd"," ","Gilbert","AZ","85295","Stefan Aaron Bradshaw","R-11","R-11 Electrical","Residential","2015-08-12","2019-08-31","Current"
"240170","A B Z Construction Inc"," ","3142 E Sierra St"," ","Phoenix","AZ","85028","Zygmunt Ferdinand Oparowski","B-3","B-3 General Remodeling and Repair Contractor","Residential","2008-01-24","2020-01-31","Current"
"214929","A Better Builder Construction Company"," ","310 Moser Ave"," ","Bullhead City","AZ","86429","Charles Raymond Ashby","B","B General Residential Contractor","Residential","2006-01-10","2020-01-31","Current"
"257116","A Better Contractor LLC"," ","9401 E Deer Trl"," ","Tucson","AZ","85710","Grant Hildren Hall","B","B General Residential Contractor","Residential","2009-07-05","2020-05-31","Current"
"119409","A Better Garage Door Company Inc"," ","Po Box 22140"," ","Mesa","AZ","85277","Timothy Joseph Wirtner","R-62","R-62 Minor Home Improvements","Residential","1996-12-02","2018-11-30","Current"
"271116","A Better Remodel and Design LLC"," ","PO Box 42951"," ","Tucson","AZ","85733","Maria-Flavia A Zavala","B","B General Residential Contractor","Residential","2011-03-03","2020-02-29","Current"
"197090","A C Concepts Mechanical Inc"," ","10317 E Irwin Ave"," ","Mesa","AZ","85209","Brian Lee Henry","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2004-06-23","2020-06-30","Current"
"194315","A C E Newman Homes LLC"," ","18402 N 19th Ave # 375"," ","Phoenix","AZ","85023","Christopher Rober Newman","B","B General Residential Contractor","Residential","2004-03-31","2020-03-31","Current"
"160267","A C M Electric LLC"," ","Po Box 9176"," ","Chandler Heights","AZ","85127","Robert Scott Mully","R-11","R-11 Electrical","Residential","2000-11-24","2018-11-30","Current"
"222688","A C Mechanical and Appliance LLC"," ","4133 E Brighton Way"," ","San Tan Valley","AZ","85140","Francisco Javier Garza","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2006-07-27","2020-07-31","Current"
"099427","A C R Contracting Inc"," ","12840 E Via De Palmas"," ","Chandler","AZ","85249","Carter Max Green","B","B General Residential Contractor","Residential","1993-10-07","2019-09-30","Current"
"213835","A C S Inspection Services LLC","A C S Arizona Misting Systems , A C S Arizona Misting Systems","9299 W Olive Ave Ste 303"," ","Peoria","AZ","85345","James Scott Reid","R-16","R-16 Fire Protection Systems","Residential","2005-11-18","2019-11-30","Current"
"065718","A C T Rebar Contractors Inc"," Image West Pools, Image West Pools","8331 N 57th Dr"," ","Glendale","AZ","85302","Alfred Wesley Smith Jr","B-5","B-5 General Swimming Pool Contractor","Residential","1986-08-06","2020-07-31","Current"
"094593","A D H Plumbing and Mechanical Inc","A D H Plumbing Inc , A D H Plumbing Inc","Po Box 21356"," ","Bullhead City","AZ","86439","David Cameron Villone","R-37R","R-37R Plumbing","Residential","1992-08-28","2020-07-31","Current"
"110655","A D L Arizona Design Limited"," ","11250 N Tatum Blvd"," ","Phoenix","AZ","85028","Kenton Warren Stafford","B","B General Residential Contractor","Residential","1995-12-13","2019-11-30","Current"
"267961","A D Martin Homes LLC"," ","361 W. Calle Las Tunas"," ","Sahuarita","AZ","85629","Cheryl Ann Magnuson","B","B General Residential Contractor","Residential","2010-10-15","2020-10-31","Current"
"080734","A F Sterling Home Builders Ltd"," ","6340 N Campbell Ave Ste 240"," ","Tucson","AZ","85718","Jonathan Daru Fenton","B","B General Residential Contractor","Residential","1988-11-04","2019-10-31","Current"
"050926","A G N Development Corporation"," ","PO Box 9831"," ","Phoenix","AZ","85068","John Steven Norris","B","B General Residential Contractor","Residential","1979-11-26","2020-10-31","Current"
"165547","A Hall Plumbing LLC","A H Plumbing , A H Plumbing","550 W Baseline Rd Ste 102-292"," ","Mesa","AZ","85210","Andrew Smith Hall","R-37R","R-37R Plumbing","Residential","2001-06-01","2019-06-30","Current"
"096508","A Home and Office Maintenance","A Home , A Home","3762 N Harrison Rd"," ","Tucson","AZ","85749","Gerold Drew Hermundslie","B","B General Residential Contractor","Residential","1993-03-01","2019-02-28","Current"
"142767","A J Decker Construction Company"," ","23724 N Central Ave"," ","Phoenix","AZ","85024","Anton Joseph Decker Jr","B","B General Residential Contractor","Residential","1999-02-16","2019-02-28","Current"
"162383","A J F Custom Homes LLC"," ","Po Box 27705"," ","Scottsdale","AZ","85255","Alan Joseph Fernandez","B","B General Residential Contractor","Residential","2001-02-26","2019-02-28","Current"
"136155","A J H Woodworks Inc","AJH Construction , AJH Construction","6934 Ranmar Ct"," ","Flagstaff","AZ","86004","Alex John Helwig","B","B General Residential Contractor","Residential","1998-06-23","2020-06-30","Current"
"280435","A J Stimmler & Son Plumbing Heating & Air Conditioning LLC"," ","PO Box 12192"," ","Scottsdale","AZ","85267","Alan James Stimmler","R-37R","R-37R Plumbing","Residential","2012-08-22","2020-08-31","Current"
"155526","A J T Development LLC"," ","8501 E Citrus Way"," ","Scottsdale","AZ","85250","Thomas Alan Goscicki","B","B General Residential Contractor","Residential","2000-05-21","2020-05-31","Current"
"065444","A James Geschwentner","The Westin Company , The Westin Company","31 W Vogel Ave"," ","Phoenix","AZ","85020","A James Geschwentner","B","B General Residential Contractor","Residential","1986-06-26","2019-05-31","Current"
"278945","A K C Electric LLC"," ","11535 E Dover St"," ","Mesa","AZ","85207","Keith Bryan Carter","R-11","R-11 Electrical","Residential","2012-05-21","2020-05-31","Current"
"233606","A K Nymeyer Construction Inc"," ","3560 W Sumter Dr"," ","Tucson","AZ","85742","Aaron King Nymeyer","B","B General Residential Contractor","Residential","2007-05-20","2019-05-31","Current"
"284081","A L C Builders Inc"," ","8660 E Waterford Cir"," ","Mesa","AZ","85212","Anson Ladell Call","B","B General Residential Contractor","Residential","2013-03-24","2019-03-31","Current"
"176302","A L S Construction LLC","Classic Stairs and Remodeling , Classic Stairs and Remodeling","4342 E Emelita Ave"," ","Mesa","AZ","85206","Alfred William Soto","B-3","B-3 General Remodeling and Repair Contractor","Residential","2002-06-26","2020-06-30","Current"
"169839","A L Santa Maria Design & Construction Inc"," ","Po Box 30547"," ","Tucson","AZ","85751","Anthony Lawrence Santa Maria","B-3","B-3 General Remodeling and Repair Contractor","Residential","2001-12-12","2019-12-31","Current"
"294766","A Little Help LLC"," ","PO Box 118"," ","Litchfield Park","AZ","85340","Michael Allen Prochko","R-62","R-62 Minor Home Improvements","Residential","2014-10-20","2020-10-31","Current"
"183290","A M F Construction LLC"," ","8251 W Mescalero Rd"," ","Payson","AZ","85541","Anthony Mark Flores","B","B General Residential Contractor","Residential","2003-03-17","2019-03-31","Current"
"173962","A M I Quality Home Service Inc"," ","Po Box 2800-315"," ","Carefree","AZ","85377","Antonio Michael Iannaccone","B","B General Residential Contractor","Residential","2002-04-05","2020-04-30","Current"
"118774","A M Jackson Electric Inc"," ","47 E Brown Rd"," ","Star Valley","AZ","85541","Arthur Michael Jackson","R-11","R-11 Electrical","Residential","1996-11-06","2020-10-31","Current"
"088524","A M P M Electric Inc"," ","PO Box 3435"," ","Flagstaff","AZ","86003","Stephen Dwayne Tew","R-11","R-11 Electrical","Residential","1990-12-17","2019-11-30","Current"
"157748","A M S Construction and Excavating Inc"," ","Po Box 426"," ","Hereford","AZ","85615","Dennis Herman Farbo","B-4","B-4 General Residential Engineering Contractor","Residential","2000-10-16","2020-10-31","Current"
"260293","A Mark Lighting Services LLC"," ","2227 S 48th St Ste E"," ","Tempe","AZ","85282","Roger Lewis Weiler","R-11","R-11 Electrical","Residential","2009-11-01","2019-11-30","Current"
"088559","A Michael Siewerth","Air Conditioning Masters , Air Conditioning Masters","6336 N Oracle Rd #326-130"," ","Tucson","AZ","85704","A Michael Siewerth","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1990-12-21","2020-11-30","Current"
"170684","A Miner Contracting Inc"," ","1071 Commerce Dr Ste A"," ","Prescott","AZ","86305","Alan Raymond Miner","B-4","B-4 General Residential Engineering Contractor","Residential","2002-01-10","2020-01-31","Current"
"261707","A O K Painting LLC"," ","3882 S Tower Ave"," ","Chandler","AZ","85248","Arlo Oran Kreun","R-34","R-34 Painting and Wall Covering","Residential","2010-01-11","2020-01-31","Current"
"175647","A P I Electrical Contractors LLC"," A P I Pool Service","942 N Delmar"," ","Mesa","AZ","85203","Scott Allen Mc Quade","R-11","R-11 Electrical","Residential","2002-06-10","2020-06-30","Current"
